   642,000ms ID:00010172 Pr:00000000             0 +         2,910 8E7E18331EE538583C8DA236F8BF33C9          ReleaseRequest(): Success "mods\core.stormmod\base.stormdata" "heroes_regions.xml"
 4,431,375ms ID:000101BF Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 4,433,671ms ID:000101C0 Pr:01040000             0 +       139,086 0E0D58C0572E775ACA1202E4F0D4D338          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Stinger_Fort_Destroyed_Player.ogg"
 4,433,671ms ID:000101C0 Pr:01040000             0 +       139,086 0E0D58C0572E775ACA1202E4F0D4D338          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Stinger_Fort_Destroyed_Player.ogg"
 4,433,671ms ID:000101C0 Pr:01040000             0 +       139,086 0E0D58C0572E775ACA1202E4F0D4D338          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Stinger_Fort_Destroyed_Player.ogg"
 4,450,484ms ID:000101C1 Pr:01040000             0 +     1,550,218 9D9FEC5C8264E7688B814120F835FA51          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_Gluescreen_Loop_01.ogg"
 4,450,484ms ID:000101C1 Pr:01040000             0 +     1,550,218 9D9FEC5C8264E7688B814120F835FA51          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_Gluescreen_Loop_01.ogg"
 4,450,484ms ID:000101C1 Pr:01040000             0 +     1,550,218 9D9FEC5C8264E7688B814120F835FA51          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_Gluescreen_Loop_01.ogg"
 4,450,546ms ID:000101C2 Pr:01040000             0 +     1,224,477 8FD31F48D216A42A3728DB3B933B5F6B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus1.ogg"
 4,450,546ms ID:000101C3 Pr:01040000             0 +     4,360,554 9D63C30B5E355EE7FD100E985647D56C          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus3.ogg"
 4,450,546ms ID:000101C2 Pr:01040000             0 +     1,224,477 8FD31F48D216A42A3728DB3B933B5F6B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus1.ogg"
 4,450,546ms ID:000101C3 Pr:01040000             0 +     4,360,554 9D63C30B5E355EE7FD100E985647D56C          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus3.ogg"
 4,450,546ms ID:000101C2 Pr:01040000             0 +     1,224,477 8FD31F48D216A42A3728DB3B933B5F6B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus1.ogg"
 4,450,546ms ID:000101C3 Pr:01040000             0 +     4,360,554 9D63C30B5E355EE7FD100E985647D56C          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus3.ogg"
 4,450,546ms ID:000101C4 Pr:01040000             0 +     3,825,200 FA5F4FC37807C44B505E16614310ACD8          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus4.ogg"
 4,450,546ms ID:000101C4 Pr:01040000             0 +     3,825,200 FA5F4FC37807C44B505E16614310ACD8          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus4.ogg"
 4,450,546ms ID:000101C4 Pr:01040000             0 +     3,825,200 FA5F4FC37807C44B505E16614310ACD8          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus4.ogg"
 4,450,546ms ID:000101C5 Pr:01040000             0 +     2,705,131 18A75EA52C99CE73F97A5800F26D510B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus5.ogg"
 4,450,546ms ID:000101C6 Pr:01040000             0 +     2,939,587 EB8B28FDD39049084CF31F5A11C0FE27          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus6.ogg"
 4,450,546ms ID:000101C5 Pr:01040000             0 +     2,705,131 18A75EA52C99CE73F97A5800F26D510B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus5.ogg"
 4,450,546ms ID:000101C6 Pr:01040000             0 +     2,939,587 EB8B28FDD39049084CF31F5A11C0FE27          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus6.ogg"
 4,450,546ms ID:000101C5 Pr:01040000             0 +     2,705,131 18A75EA52C99CE73F97A5800F26D510B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus5.ogg"
 4,450,546ms ID:000101C7 Pr:01040000             0 +     3,486,830 38BEEFDC13130CBC621CC2F0912CEF9B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus7.ogg"
 4,450,546ms ID:000101C6 Pr:01040000             0 +     2,939,587 EB8B28FDD39049084CF31F5A11C0FE27          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus6.ogg"
 4,450,546ms ID:000101C7 Pr:01040000             0 +     3,486,830 38BEEFDC13130CBC621CC2F0912CEF9B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus7.ogg"
 4,450,546ms ID:000101C7 Pr:01040000             0 +     3,486,830 38BEEFDC13130CBC621CC2F0912CEF9B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus7.ogg"
 4,450,546ms ID:000101C8 Pr:01040000             0 +     3,696,194 45CA4E67C73DB4E22307ABEA6AE982CF          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus8.ogg"
 4,450,546ms ID:000101C8 Pr:01040000             0 +     3,696,194 45CA4E67C73DB4E22307ABEA6AE982CF          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus8.ogg"
 4,450,546ms ID:000101C8 Pr:01040000             0 +     3,696,194 45CA4E67C73DB4E22307ABEA6AE982CF          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Nexus8.ogg"
 4,451,468ms ID:000101C9 Pr:01040000             0 +     3,168,803 7D97AE9DE9738D8412BE23A9C26E3536          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_GlueScreen_01.ogg"
 4,451,468ms ID:000101CA Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 4,451,468ms ID:000101C9 Pr:01040000             0 +     3,168,803 7D97AE9DE9738D8412BE23A9C26E3536          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_GlueScreen_01.ogg"
 4,451,468ms ID:000101CA Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 4,451,468ms ID:000101C9 Pr:01040000             0 +     3,168,803 7D97AE9DE9738D8412BE23A9C26E3536          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_GlueScreen_01.ogg"
 4,451,468ms ID:000101CA Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 4,451,468ms ID:000101CB Pr:01040000             0 +     2,730,484 55CCDEB7722D9500AB0D736A9B9E2FCD          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Stingers\Heroes_Warcraft_Human1_01.ogg"
 4,451,468ms ID:000101CB Pr:01040000             0 +     2,730,484 55CCDEB7722D9500AB0D736A9B9E2FCD          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Stingers\Heroes_Warcraft_Human1_01.ogg"
 4,451,468ms ID:000101CB Pr:01040000             0 +     2,730,484 55CCDEB7722D9500AB0D736A9B9E2FCD          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Stingers\Heroes_Warcraft_Human1_01.ogg"
 4,451,468ms ID:000101CC Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,451,468ms ID:000101CD Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 4,451,468ms ID:000101CC Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,451,468ms ID:000101CD Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 4,451,468ms ID:000101CC Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,451,468ms ID:000101CD Pr:01040000             0 +     2,392,639 CFBEE44C1B5725FB6E31719DECBDCF36          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Docks02.ogg"
 4,451,468ms ID:000101CE Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 4,451,468ms ID:000101CF Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 4,451,468ms ID:000101CE Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 4,451,468ms ID:000101CF Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 4,451,468ms ID:000101CE Pr:01040000             0 +     1,390,205 D1A5DCD55871F76BAB87E1B61F40086D          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_HauntedMines_1_Alt1.ogg"
 4,451,468ms ID:000101CF Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 4,501,296ms ID:000101D0 Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 4,501,296ms ID:000101D0 Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 4,501,296ms ID:000101D0 Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 4,502,328ms ID:000101D1 Pr:01040000             0 +     2,692,631 999012A189EB79C5D225F0DA90DA521B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_GardenOfTerror_Day01.ogg"
 4,502,328ms ID:000101D1 Pr:01040000             0 +     2,692,631 999012A189EB79C5D225F0DA90DA521B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_GardenOfTerror_Day01.ogg"
 4,502,328ms ID:000101D1 Pr:01040000             0 +     2,692,631 999012A189EB79C5D225F0DA90DA521B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Ambient_2D\Amb_2D_GardenOfTerror_Day01.ogg"
 4,664,953ms ID:000101D2 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,664,953ms ID:000101D3 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 4,664,953ms ID:000101D4 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 4,664,953ms ID:000101D2 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,664,953ms ID:000101D3 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 4,664,953ms ID:000101D4 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 4,664,953ms ID:000101D2 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,664,953ms ID:000101D3 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 4,664,953ms ID:000101D4 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 4,778,078ms ID:000101D5 Pr:01040000             0 +     1,677,428 8ABFAC3CE58D218DD21EA67DA1FCB59A          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_YoureDead2_Loop.ogg"
 4,778,078ms ID:000101D5 Pr:01040000             0 +     1,677,428 8ABFAC3CE58D218DD21EA67DA1FCB59A          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_YoureDead2_Loop.ogg"
 4,778,078ms ID:000101D5 Pr:01040000             0 +     1,677,428 8ABFAC3CE58D218DD21EA67DA1FCB59A          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_YoureDead2_Loop.ogg"
 4,798,750ms ID:000101D6 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,798,750ms ID:000101D7 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 4,798,750ms ID:000101D6 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,798,750ms ID:000101D7 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 4,798,750ms ID:000101D6 Pr:01040000             0 +     2,323,841 556485467979BD629E4BA0C9EB4137B0          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Concept02.ogg"
 4,798,750ms ID:000101D8 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 4,798,750ms ID:000101D8 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 4,798,750ms ID:000101D7 Pr:01040000             0 +     1,910,620 670B0E20DC734FD2613FF2BD7F4375AF          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_GardenOfTerror_Day1.ogg"
 4,798,750ms ID:000101D8 Pr:01040000             0 +     3,645,967 D2BE7483A63BE3A17C97BC59F4D6C540          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_TheBattleBegins_Alt1.ogg"
 4,950,375ms ID:000101D9 Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 4,950,375ms ID:000101DA Pr:01040000             0 +     1,971,378 AB5EA436C0998FE45827D045530D5625          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_KingsCrest_EpicBattle01.ogg"
 4,950,375ms ID:000101DB Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 4,950,375ms ID:000101D9 Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 4,950,375ms ID:000101DA Pr:01040000             0 +     1,971,378 AB5EA436C0998FE45827D045530D5625          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_KingsCrest_EpicBattle01.ogg"
 4,950,375ms ID:000101DB Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 4,950,375ms ID:000101D9 Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 4,950,375ms ID:000101DA Pr:01040000             0 +     1,971,378 AB5EA436C0998FE45827D045530D5625          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_KingsCrest_EpicBattle01.ogg"
 4,950,375ms ID:000101DB Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 5,060,140ms ID:000101DC Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 5,060,140ms ID:000101DD Pr:01040000             0 +     1,971,378 AB5EA436C0998FE45827D045530D5625          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_KingsCrest_EpicBattle01.ogg"
 5,060,140ms ID:000101DC Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 5,060,140ms ID:000101DD Pr:01040000             0 +     1,971,378 AB5EA436C0998FE45827D045530D5625          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_KingsCrest_EpicBattle01.ogg"
 5,060,140ms ID:000101DC Pr:01040000             0 +     3,047,504 B518A85D8D82ADA22BE3A1E6226DBA27          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Dragonshire1.ogg"
 5,060,140ms ID:000101DD Pr:01040000             0 +     1,971,378 AB5EA436C0998FE45827D045530D5625          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_KingsCrest_EpicBattle01.ogg"
 5,060,140ms ID:000101DE Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 5,060,140ms ID:000101DE Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 5,060,140ms ID:000101DE Pr:01040000             0 +     4,951,392 28901C0D61B6765DD5647C6F80A70F1B          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\Mx_Heroes_Symphony_Part1.ogg"
 5,396,312ms ID:000101DF Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 5,396,312ms ID:000101E0 Pr:01040000             0 +     2,730,484 55CCDEB7722D9500AB0D736A9B9E2FCD          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Stingers\Heroes_Warcraft_Human1_01.ogg"
 5,396,312ms ID:000101E1 Pr:01040000             0 +     1,971,378 AB5EA436C0998FE45827D045530D5625          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_KingsCrest_EpicBattle01.ogg"
 5,396,312ms ID:000101DF Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 5,396,312ms ID:000101E0 Pr:01040000             0 +     2,730,484 55CCDEB7722D9500AB0D736A9B9E2FCD          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Stingers\Heroes_Warcraft_Human1_01.ogg"
 5,396,312ms ID:000101E1 Pr:01040000             0 +     1,971,378 AB5EA436C0998FE45827D045530D5625          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_KingsCrest_EpicBattle01.ogg"
 5,396,312ms ID:000101DF Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 5,396,312ms ID:000101E0 Pr:01040000             0 +     2,730,484 55CCDEB7722D9500AB0D736A9B9E2FCD          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Stingers\Heroes_Warcraft_Human1_01.ogg"
 5,396,312ms ID:000101E1 Pr:01040000             0 +     1,971,378 AB5EA436C0998FE45827D045530D5625          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_KingsCrest_EpicBattle01.ogg"
 5,556,250ms ID:000101E2 Pr:01040000             0 +     1,677,428 8ABFAC3CE58D218DD21EA67DA1FCB59A          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_YoureDead2_Loop.ogg"
 5,556,250ms ID:000101E2 Pr:01040000             0 +     1,677,428 8ABFAC3CE58D218DD21EA67DA1FCB59A          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_YoureDead2_Loop.ogg"
 5,556,250ms ID:000101E2 Pr:01040000             0 +     1,677,428 8ABFAC3CE58D218DD21EA67DA1FCB59A          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_Heroes_YoureDead2_Loop.ogg"
 5,576,937ms ID:000101E3 Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 5,576,937ms ID:000101E4 Pr:01040000             0 +     2,730,484 55CCDEB7722D9500AB0D736A9B9E2FCD          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Stingers\Heroes_Warcraft_Human1_01.ogg"
 5,576,937ms ID:000101E3 Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 5,576,937ms ID:000101E4 Pr:01040000             0 +     2,730,484 55CCDEB7722D9500AB0D736A9B9E2FCD          ProcessUnprocessedRequests(): Request already completed "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Stingers\Heroes_Warcraft_Human1_01.ogg"
 5,576,937ms ID:000101E3 Pr:01040000             0 +     3,282,458 C154FE749694A1FB1E150E5526F5043E          ReleaseRequest(): Success "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Sounds\Music\Glue_Screen\Heroes_RockOpera_01.ogg"
 5,576,937ms ID:000101E5 Pr:01040000             0 +     1,971,378 AB5EA436C0998FE45827D045530D5625          RequestFile() "Mods\Heroes.StormMod\Base.StormAssets" "Assets\Music\MX_KingsCrest_EpicBattle01.ogg"
